underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
LEN,0.07571428571428569,499,7,2019-02-15,2019-03-15,48.362,0.2900929268916981,0.31369465473919933,0.30212434745029865,0.08726562863836507,0.06299593775576146,42.5,55,0.17,0.08,0.3598305163216314,-0.0697375894299333
LPSN,0.08749999999999994,50,4,2019-02-15,2019-03-15,25.93125,0.5664450030854433,0.5995363705807369,0.5832254286164102,0.08496827354814274,0.19976825219965771,20,30,0.15,0.4,0.44634498757489516,0.12010001551054816
LUV,0.07857142857142858,173,7,2019-02-15,2019-03-15,57.94,0.22908535518452375,0.24958124895755293,0.23955260360850955,0.09995623830407774,0.04745066366037348,52.5,65,0.2,0.05,0.27641375127112583,-0.04732839608660208
LVS,0.07000000000000002,2533,9,2019-02-15,2019-03-15,59.483000000000004,0.3095941934173235,0.3319961300732887,0.3209906501608444,0.056471925014648594,0.043686696398145486,50,67.5,0.13,0.04,0.3266078880248636,-0.017013694607540097
M,0.03842105263157896,3771,19,2019-02-15,2019-03-15,25.007,0.5297485268510237,0.5536454665443364,0.5418287572314365,0.07410471807817931,0.06425853292517225,20,31,0.13,0.08,0.4722733341170569,0.057475192733966785
MDLZ,0.04615384615384615,40606,13,2019-02-15,2019-03-15,47.423,0.16012766006377088,0.1710141351058159,0.1656603481879246,0.059615809499313555,0.12204220687116135,43,50,0.07,0.11,0.1907556626915597,-0.03062800262778881
MET,0.03600000000000002,262,5,2019-02-15,2019-03-15,43.877,0.2065846117446366,0.21980843491241747,0.2132990270352032,0.10564200697620896,0.0698031426119598,40,47.5,0.16,0.06,0.27833338771983507,-0.07174877597519846
MGM,0.047000000000000014,3917,10,2019-02-15,2019-03-15,27.332,0.30018359303357556,0.32514557124341675,0.3129135919273523,0.08782887239639847,0.0679021562744429,24,31,0.1,0.05,0.3937266056565161,-0.09354301262294057
MMP,0.09000000000000001,56,5,2019-02-15,2019-03-15,59.24,0.15910362297215674,0.18063600395266824,0.17021064709185288,0.1015351271162398,0.09246414749754839,55,62.5,0.15,0.05,0.2170396215815964,-0.057935998609439654
MO,0.04555555555555555,1520,9,2019-02-15,2019-03-15,49.231,0.22808362021315554,0.24003562544826912,0.2341358999532971,0.057236697354892896,0.049319177597497266,42.5,55,0.11,0.06,0.1764563238864599,0.05162729632669563
MPC,0.06636363636363639,963,11,2019-02-15,2019-03-15,63.677,0.27827216392432974,0.2998683284091348,0.28927185448814213,0.06973189754497233,0.0857931167040511,55,70,0.18,0.12,0.3239007508678435,-0.04562858694351374
MS,0.03157894736842105,3093,19,2019-02-15,2019-03-15,40.807,0.270582836824076,0.287570691375644,0.2792059939561026,0.08114887167097018,0.08371397208628695,36,45,0.13,0.1,0.28545408111165227,-0.014871244287576246
MU,0.04899999999999999,48083,30,2019-02-15,2019-03-15,42.3,0.5016195263860335,0.518667878996053,0.5102149144987889,0.07132485072557693,0.09539776999636956,33,50,0.23,0.21,0.5178885253413436,-0.016268998955310088
NEM,0.032857142857142856,1187,14,2019-02-15,2019-03-15,33.07,0.277262585438201,0.29328254009820204,0.28538499400838263,0.06882722783551398,0.08260555088754795,29,37,0.08,0.08,0.31291144722376774,-0.035648861785566754
NTAP,0.09500000000000001,2438,6,2019-02-15,2019-03-15,63.767,0.2836534478899212,0.3092715561730325,0.2967390890643912,0.06816160391443926,0.03997512375957801,55,75,0.11,0.05,0.35927739493639277,-0.07562394704647157
NUE,0.09285714285714283,174,7,2019-02-15,2019-03-15,59.83,0.23698187248782973,0.2588123261961837,0.24813728869208448,0.06596305248655288,0.09103691919491491,52.5,65,0.12,0.11,0.27136548425750245,-0.03438361176967272
NWL,0.09615384615384616,1901,13,2019-02-15,2019-03-15,21.56,0.5213528611753964,0.5828362233798815,0.5529497577264572,0.07929242576051632,0.07420367081165369,17,27,0.1,0.05,0.3773652074964793,0.14398765367891708
NYT,0.08888888888888888,5664,9,2019-02-15,2019-03-15,31.99,0.29388891078074536,0.32579994052059175,0.3102549702447279,0.06086875102866762,0.1391747673346434,27,35,0.05,0.15,0.40013522522422756,-0.1062463144434822
ORCL,0.05083333333333333,370,12,2019-02-15,2019-03-15,51.511,0.1766877811520532,0.19800904633611682,0.1876514780642219,0.08258869620622167,0.07421751109580299,47,55,0.12,0.05,0.22251537348951805,-0.04582759233746486
PDD,0.09999999999999999,749,7,2019-02-15,2019-03-15,27.07,0.7441697363446246,0.7981494364930053,0.7716317513766946,0.08368195811461376,0.06004692805053141,20,40,0.25,0.1,0.6753823463756256,0.06878738996899902
PEGA,0.09000000000000005,97,5,2019-02-15,2019-03-15,57.245,0.41452709198344223,0.4328955132428503,0.4238108277132853,0.05883918722468906,0.13332020789943477,45,65,0.2,0.35,0.3052459248594175,0.10928116712402475
PETS,0.08750000000000002,95,4,2019-02-15,2019-03-15,23.40625,0.3732316143203222,0.42185214401714616,0.3982844896176706,0.04169855273872958,0.30552421215888803,17.5,25,0.05,0.45,0.4176539043787651,-0.04442229005844289
QCOM,0.05466666666666667,9277,15,2019-02-15,2019-03-15,51.229,0.2845320340506532,0.3068371760031171,0.2958948554626879,0.08661110872956723,0.08572513951680616,45,57.5,0.18,0.14,0.25990819133669923,0.02462384271395396
