Symbol,ETF Name,Leveraged,Total Assets ($MM),YTD,Avg Volume,Previous Closing Price,1-Day Change
UTSL,Direxion Daily Utilities Bull 3X Shares,3x,$3.99,0.34%,"13,552",$26.59,1.26%
GASX,Direxion Daily Natural Gas Related Bear 3X Shares,3x,$3.85,-42.06%,"19,832",$30.79,-1.38%
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,3x,$3.81,18.51%,"5,438",$25.23,2.15%
EFU,UltraShort MSCI EAFE ProShares,2x,$3.77,-8.60%,"5,008",$27.51,-0.43%
SIJ,ProShares Ultra Short Industrials,2x,$3.67,-13.53%,"10,906",$17.48,-2.62%
MIDZ,Direxion Daily Mid Cap Bear 3X Shares,3x,$3.67,-20.83%,"16,987",$13.91,-2.45%
DUSL,Direxion Daily Industrials Bull 3X Shares,3x,$3.59,21.99%,"9,622",$23.80,4.07%
SDD,ProShares Ultra Short Small Cap 600,2x,$3.34,-15.37%,"6,749",$14.98,-1.45%
LACK,Direxion Daily Consumer Staples Bear 3X Shares,3x,$2.98,-7.17%,N/A,$29.76,-1.13%
SMDD,ProShares UltraPro Short MidCap400,3x,$2.83,-21.08%,"11,938",$10.56,-2.40%
SMLL,Direxion Daily Small Cap Bull 2x Shares,2x,$2.83,18.32%,623,$42.24,1.54%
EUXL,Direxion Daily EURO Stoxx 50 Bull 3X Shares,3x,$2.81,6.96%,"2,924",$13.99,0.00%
SZK,ProShares Ultra Short Consumer Goods,2x,$2.69,-8.26%,"5,740",$16.59,-1.25%
RXD,ProShares Ultra Short Health Care,2x,$2.63,-7.85%,"3,523",$23.70,-1.66%
TAWK,Direxion Daily Communication Services Index Bull 3X Shares,3x,$2.59,N/A,N/A,$25.80,0.94%
PASS,Direxion Daily Consumer Discretionary Bear 3X Shares,3x,$2.48,-18.96%,N/A,$24.88,-1.78%
GDXS,ProShares UltraShort Gold Miners,2x,$2.43,4.18%,"8,113",$14.97,-0.53%
MUTE,Direxion Daily Communication Services Index Bear 3X Shares,3x,$2.41,N/A,N/A,$24.06,-0.99%
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares,3x,$2.27,20.65%,N/A,$22.58,1.62%
NEED,Direxion Daily Consumer Staples Bull 3X Shares,3x,$2.01,7.10%,N/A,$20.05,1.26%
WDRW,Direxion Daily Regional Banks Bear 3X Shares,3x,$1.68,-28.89%,"6,186",$33.90,-1.05%
SCC,ProShares Ultra Short Consumer Services,2x,$1.66,-13.15%,"2,876",$19.05,-0.68%
FINZ,ProShares UltraPro Short Financials,3x,$1.21,-21.46%,"20,302",$8.38,-2.44%
LTL,Ultra Telecommunications ProShares,2x,$0.90,11.53%,502,$36.12,-1.26%
