underlying_symbol,avg_spread,tot_volume,num_opt,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_bid,call_bid,garch_forecast,vol_prem
QCOM,0.059999999999999984,14523,10,54.907,0.3563421264950523,0.3770755324129127,0.3770755324129127,0.0496942449680835,0.08831142840869266,0.12,0.19,0.27439423950523023,0.08194788698982208
SBUX,0.04111111111111111,3269,9,64.1,0.2636374591218147,0.27566105714590394,0.27566105714590394,0.10687363143148432,0.08033081813746445,0.29,0.13,0.25889149694048447,0.004745962181330221
SH,0.1,772,6,29.885,0.13993642573117931,0.17754055992698276,0.17754055992698276,0.2177385304458046,0.0980971648382688,0.1,0.05,0.1809413751023957,-0.041004949371216376
SLB,0.06444444444444444,5973,9,41.149,0.34608089088196925,0.3736213516761737,0.3736213516761737,0.07773658828545116,0.06764628403059991,0.16,0.08,0.30828052588316107,0.03780036499880818
SSD,0.09999999999999995,52,7,59.915,0.4219959124424105,0.44340653776898786,0.44340653776898786,0.09957851599761491,0.07461456494749441,0.4,0.15,0.2734335509995505,0.14856236144286
SU,0.038888888888888896,149,9,31.352,0.24989178939261295,0.2663160381296892,0.2663160381296892,0.09306207186967963,0.11958060658459091,0.11,0.1,0.31603732754636865,-0.0661455381537557
SYF,0.09999999999999999,56,10,26.22,0.3428030693104227,0.38621687454572323,0.38621687454572323,0.07759125802268008,0.08886194987543294,0.1,0.05,0.28684781996478625,0.05595524934563645
T,0.02363636363636364,7431,11,30.684,0.22651924332005993,0.24222355523756353,0.24222355523756353,0.11009221671841962,0.10468341988113739,0.12,0.08,0.2256409945860762,8.78248733983733e-4
TECK,0.04285714285714287,291,14,22.99,0.4284375587459475,0.46494978571414386,0.46494978571414386,0.08508809283207075,0.07824657393869339,0.12,0.06,0.4623917340240541,-0.03395417527810657
TJX,0.08750000000000002,334,4,48,0.20776848491723335,0.22681499694664142,0.22681499694664142,0.05891673298657529,0.2554589431912651,0.05,0.4,0.22211671822804585,-0.014348233310812503
TNA,0.08521739130434783,301,46,53.803,0.6160377077003384,0.654734970224806,0.654734970224806,0.10213230333262613,0.08882886247716781,0.56,0.24,0.6665337797744155,-0.050496072074077136
TOL,0.09545454545454546,123,11,35.235,0.27706603572104044,0.31036794577305393,0.31036794577305393,0.08930635526883157,0.0871298641073226,0.1,0.05,0.3503213178951977,-0.07325528217415728
TRN,0.09999999999999999,0,5,22.125,0.2430536786020782,0.28301447501939847,0.28301447501939847,0.13468033576142446,0.13161112974434075,0.1,0.05,0.3587093358121545,-0.11565565721007628
TSM,0.09545454545454546,7020,11,36.32,0.24480019541040438,0.27720103475179975,0.27720103475179975,0.08832854345657049,0.08812034810720104,0.1,0.05,0.2908393687213962,-0.04603917331099183
TWTR,0.0326923076923077,2085,26,32.919000000000004,0.6200044430488081,0.6381169123755313,0.6381169123755313,0.09420397012768289,0.09854552497072078,0.29,0.22,0.5234920163120758,0.09651242673673233
UAA,0.042,5889,5,20.062,0.6075363729394682,0.6316806004242816,0.6316806004242816,0.06887518000602677,0.10493923140770578,0.12,0.14,0.43062366913446115,0.176912703805007
USB,0.046666666666666655,599,6,49.844,0.20535008061657029,0.22206861954990947,0.22206861954990947,0.08877881191375714,0.13815355256602302,0.14,0.14,0.2214363107573347,-0.016086230140764407
VZ,0.041666666666666644,3420,6,56.904,0.19296212315294864,0.20364675871125573,0.20364675871125573,0.10845039187625993,0.14968463117597075,0.19,0.19,0.18096546582747575,0.011996657325472893
WDC,0.05777777777777778,9105,9,36.559,0.5426834800340415,0.5632493453696403,0.5632493453696403,0.11590267176981228,0.08539345012238825,0.37,0.16,0.49258176699817585,0.05010171303586569
WFC,0.024999999999999994,3901,8,48.942,0.22072808475036326,0.23244099140450786,0.23244099140450786,0.12443500402110685,0.09919587326525497,0.22,0.11,0.27079373212733504,-0.05006564737697178
X,0.03555555555555554,4216,18,21.235,0.5527734080290417,0.5878532497682267,0.5878532497682267,0.09749182289781888,0.08756845366298627,0.18,0.1,0.5101732682582516,0.042600139770790135
XLB,0.07923076923076924,5705,13,52.702,0.1797779683297282,0.20095711238934436,0.20095711238934436,0.09581438655407537,0.07334252740200753,0.15,0.05,0.22566352736618528,-0.04588555903645708
XLE,0.042380952380952394,7810,21,62.701,0.21685127437074306,0.22631238019802177,0.22631238019802177,0.09614909647708647,0.10906685240442382,0.2,0.15,0.2622850060370873,-0.04543373166634426
XLK,0.09409090909090909,1103,22,64.26400000000001,0.22639080474706919,0.24851888315234966,0.24851888315234966,0.11262572037479834,0.08064652002010908,0.28,0.07,0.2381467561440676,-0.01175595139699842
XLP,0.06714285714285714,796,7,51.927,0.12300546553450216,0.1378826664546562,0.1378826664546562,0.10227507161154681,0.10940573552481997,0.1,0.06,0.132929172308566,-0.009923706774063831
XLU,0.04333333333333333,4102,9,53.211999999999996,0.15003914781133246,0.16072494894659045,0.16072494894659045,0.10791616491716116,0.10778066261796548,0.13,0.09,0.19240238694610481,-0.04236323913477236
XME,0.04818181818181817,159,11,28.844,0.27956455845457057,0.3073737566897104,0.3073737566897104,0.08190244071404984,0.08124485507737084,0.1,0.06,0.33114681887692676,-0.051582260422356196
XOP,0.026666666666666658,3471,12,31.052,0.3197213384263233,0.33315573058513664,0.33315573058513664,0.08346453267926679,0.07394982925235516,0.12,0.07,0.41863277326742443,-0.09891143484110115
XRT,0.05153846153846155,759,13,43.996,0.23147928262493067,0.2516093597564097,0.2516093597564097,0.08282562525738024,0.11512736643648974,0.13,0.11,0.2503986077737899,-0.018919325148859245
